,מספר תיק_ישן,מספר תיק,הודאה,מספר עבירה,סוג עבירה,עבירות נוספות,סוג הנשק [אקדח],סוג הנשק [תת מקלע],סוג הנשק [תת מקלע מאולתר],סוג הנשק [בקבוק תבערה],סוג הנשק [מטען חבלה],סוג הנשק [רימון רסס],סוג הנשק [רימון הלם/גז],סוג הנשק [טיל לאו ],סוג הנשק [טיל מטאדור],סוג הנשק [רובה צייד],סוג הנשק [רובה צלפים],סוג הנשק [מטען חבלה מאולתר],סוג הנשק - אם לא נמצא בטבלה,עבר פלילי,אופן קבלת הנשק,כסף ששולם,סטטוס הנשק,חרטה,מכירה לסוכן,כמות תחמושת,אופן החזקת הנשק,תכנון,מטרה-סיבת העבירה,שימוש,נזק,בריחה,מתחם ענישה - מאשימה,מתחם ענישה - שופט,עונש,הערות ומחשבות,סוג הנשק [רובה סער ],סוג הנשק [רובה סער מאולתר]
,10556-10-17,SH-17-10-10556-234,כן,144 א,החזקה נשק,,2,,,,,,,,,,,,,כן,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 10 כדורים,"מוסלק - מוסתר, סמוך לבית",לא,,,לא נגרם נזק,לא,1 - 3.5 שנים,8 - 24 חודשים,10 חודשים,,,
,1074/07,m07001074-98,כן,144 א,החזקה נשק,,,1,,,,,,,,,,,,כן,מצא,,"נשק מפורק, תקול",כן,לא,מחסנית ריקה ובה 0 כדורים + מחסנית ריקה ובה 0 כדורים,"בבית, מוסלק - מוסתר",לא,,,"לא נגרם נזק, פוטנציאל נזק קטן",לא,,,6 חודשים עבודות שירות,,,
,10774-06-09,ME-09-06-10774-130,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,לא,,,תקין,כן,לא,,ברכב,לא,,,לא נגרם נזק,לא,,,6 חודשים,,,
,10948-02-16,SH-16-02-10948-419,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,לא,,,תקין,כן,לא,,"בבית, מוסלק - מוסתר",לא,,,לא נגרם נזק,לא,12 - 24 חודשים,,9 חודשים,ומשמתעתד אני לדון את הנאשם בתוך אותו מנעד עונש עליו הסכימו הצדדים דומה כי בעניינו של הנאשם אכן אין מקום לקבוע את מתחם העונש ההולם. ?????????? דיון והכרעה סעיף 15,,
,11098-06-18,SH-18-06-11098-353,כן,144 א,החזקה נשק,,,,,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,לא,לא,מספר מחסניות,מוסלק - מוסתר,לא,,,לא נגרם נזק,לא,2.5 - 4  שנים,20 - 40 חודשים,28 חודשים,,1,
,12109-06-15,ME-15-06-12109-344,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,כן,,,תקין,כן,לא,,ברכב,כן,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 24 חודשים,8 - 30 חודשים,9 חודשים,,,
,12213-10-16,ME-16-10-12213-904,כן,144 ב,נשיאת נשק,,,,1,,,,,,,,,,,כן,מצא,,נשק מופרד מתחמושת,כן,לא,מחסנית ריקה ובה 0 כדורים + 1 כדור,"ברכב, מוסלק - מוסתר",כן,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2.5 - 5 שנים,15 - 36 חודשים,20 חודשים,,,
,12480-04-16,ME-16-04-12480-812,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק","יסיון חבלה חמורה בנסיבות מחמירות, איומים ",,,1,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,לא,לא,מחסנית + 17 כדורים,"ברכב, על גופו, מוסלק - מוסתר",כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 6 שנים,18 - 45 חודשים,36 חודשים,"קיימים 3 אישומים נפרדים, לקחתי את המתחם הגבוה מבניהם גם אצל השופט גם אצל המאשימה.",,
,1316-04-19,ME-19-04-1316-977,כן,144 ב,"סחר בנשק, ניסיון לסחר",,,,1,,,,,,,,,,,לא,מאחר,"מכר ב19,000 שקל",תקין,כן,כן,900 כדורים,ברכב,כן,בצע כסף,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,4 - 8 שנים,45 - 70 חודשים,45 חודשים,,,
,13179-07-14,ME-14-07-13179-197,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק","ירי באזור מגורים, לפי סעיף 340א לחוק; שיבוש מהלכי משפט, לפי סעיף 244 לחוק; הפרת הוראה חוקית, לפי סעיף 287(א) לחוק; גניבה, לפי סעיף 384 לחוק; ואיומים, לפי סעיף 192 לחוק.",1,,,,,,,,,,,,,כן,מאחר,,נשק עם כדור בקנה,כן,לא,3 מחסניות,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,1 - 3 שנים; 3 - 5 שנים,12 חודשים; 14 - 40 חודשים,24 חודשים,,,
,13401-03-12,ME-12-03-13401-281,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק",יריות באזור מגורים - עבירה לפי סעיף 340א לחוק.,1,,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,"2 מחסניות ובהן כדורים, 11 כדורים",ברכב,לא,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,36 - 50 חודשים,,20 חודשים,"אקדח גנוב, אין מתחם ענישה של השופט",,
,13999-11-16,ME-16-11-13999-863,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,2 מחסניות,ברכב,לא,,,לא נגרם נזק,כן,2 - 4 שנים,9 חודשים - 2 שנים,12 חודשים,,,
,14044-03-20,SH-20-03-14044-704,כן,144 א,החזקה נשק,,,,1,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 11 כדורים,"מוסלק - מוסתר, סמוך לבית",לא,,,לא נגרם נזק,לא,24 - 48 חודשים,15 - 36 חודשים,20 חודשים,,,
,15148-03-12,ME-12-03-15148-775,כן,144 א,החזקה נשק,"שינוי זהות של כלי רכב, עבירה לפי סעיף 413ט' לחוק העונשין, תשל""ז - 1977.",2,,,,,,,,,,,,משתיק קול,לא,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 11 כדורים,ברכב,כן,,,לא נגרם נזק,לא,2 - 5 שנים,2 - 4 שנים,3 שנים,,,
,15387-01-21,ME-21-01-15387-564,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק","שיבוש מהלכי משפט, לפי סעיף 244 בחוק.",,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 0 כדורים,"ברכב, על גופו, מוסלק - מוסתר",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2 - 4 שנים,12 - 30 חודשים,12 חודשים,,1,
,16192-05-09,ME-09-05-16192-355,כן,144 ב,"נשיאת נשק, הובלת נשק",,,1,,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 10 כדורים,ברכב,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",כן,,,20 חודשים,אין מתחם ענישה,,
,17917-08-10,ME-10-08-17917-313,כן,,החזקה נשק,,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,3 כדורים,מוסלק - מוסתר,לא,הגנה עצמית,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,,,6 חודשים בעבודות שירות,,,
,17935-01-20,ME-20-01-17935-7,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",הפרעה לשוטר,,,1,,,,,,,,,,,כן,,,תקול,כן,לא,,בבית,לא,,,לא נגרם נזק,כן,2.5 - 5 שנים,10 חודשים - 3 שנים,12 חודשים,,,
,18397-02-16,ME-16-02-18397-87,כן,144 ב,"נשיאת נשק, הובלת נשק","נהיגה ללא רישיון, נהיגה ללא ביטוח וללא רישיון רכב",1,,,,,,,,,,,,,כן,,,תקול,כן,לא,כדורים,"ברכב, מוסלק - מוסתר",לא,,,לא נגרם נזק,כן,15 - 45 חודשים,12 - 36 חודשים,18 חודשים,,,
,18557-10-21,ME-21-10-18557-340,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק",ירי מנשק חם,,,1,,,,,,,,,,,לא,,,נשק עם כדור בקנה,לא,לא,מחסנית + 2 כדורים,"ברכב, על גופו",לא,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,4 - 6 שנים,27 - 52 חודשים,28 חודשים,,,
,0189-01-16,ME-16-01-189-123,כן,"144 א, 144 ב","נשיאת נשק, הובלת נשק, רכישת נשק",קשירת קשר לסחר בסם מסוכן,,,1,,,,,,,,,,,כן,רכש,,נשק מופרד מתחמושת,כן,לא,מחסנית ריקה ובה 0 כדורים + 50 כדורים,"ברכב, מוסלק - מוסתר",לא,ציד,,"לא נגרם נזק, פוטנציאל נזק קטן",לא,30 - 54 חודשים,12 - 36 חודשים,26 חודשים,"הנשק שרכש הנאשם הינו נשק מאולתר מסוג תת מקלע. בשים לב למחסנית ולתחמושת שנרכשו עימו,",,
,19242-04-17,SH-17-04-19242-11,כן,144 א,החזקה נשק,,,,,,,,,,,,,,,כן,מאחר,,תקין,לא,לא,2 מחסניות,"בבית, מוסלק - מוסתר",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,30 - 48 חודשים,20 - 40 חודשים,20 חודשים,,1,
,19384-05-16,ME-16-05-19384-544,כן,"144 א, 144 ב","נשיאת נשק, סחר בנשק","ניסיון לחבלה חמורה,רכישת נשק ",,3,,,,,,,,,,,,לא,רכש,"מכר ב 4,000 שקל, מכר ב 4,000 שקל, קנה ב 3,000 שקל, מכר ב 3,000 שקל",נשק עם כדור בקנה,כן,לא,10 כדורים,"מוסלק - מוסתר, סמוך לבית",כן,בצע כסף,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,4 - 8 שנים,40 - 60 חודשים,46 חודשים,,1,
,19417-11-16,SH-16-11-19417-55,לא,144 א,החזקה נשק,,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה כדורים,ברכב,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 36 חודשים,15 - 30 חודשים,15 חודשים,,,
,19642-04-18,ME-18-04-19642-504,כן,"144 א, 144 ב","נשיאת נשק, הובלת נשק","במעשי פזיזות ורשלנות, לפי ס' 338(א)(5) לחוק.",1,,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,"2 מחסניות, 40 כדורים","ברכב, על גופו",לא,אלימות כלפי נשים,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 5 שנים,20 חודשים - 4 שנים,24 חודשים,,,
,19819-03-23,SH-23-03-19819-247,כן,144 א,החזקה נשק,,,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,3 מחסניות,"בבית, מוסלק - מוסתר",כן,,,פוטנציאל נזק גדול,לא,28 - 56 חודשים,24 - 40 חודשים,29 חודשים,לבדוק,1,
,207/08,m08000207-175,כן,144 ב,נשיאת נשק,"והחזקת סם לצריכה עצמית בלבד, עבירה לפי סעיף 7(א) + (ג) סיפא לפקודת הסמים המסוכנים, התשל""ג-1973",1,,,,,,,,,,,,,לא,מצא,,נשק עם מחסנית בהכנס,כן,לא,"מחסנית ובה 15 כדורים, מחסנית וסה 10 כדורים",ברכב,לא,,,לא נגרם נזק,לא,16 חודשים,,6 חודשים בעבודות שירות,,,
,0229-08-16,ME-16-08-229-604,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, ייצור נשק","בעבירה של חבלה בכוונה מחמירה, לפי סעיף 329(א)(2) בצירוף סעיף 29 לחוק העונשין תשל""ז – 1977 (להלן: ""החוק""); בעבירה של גניבת רכב, לפי סעיף 413ב(א) לחוק; בעבירה של ניסיון הצתה, לפי סעיף 448(א) רישא בצירוף סעיף 25 לחוק; ובעבירה של ירי בשטח בנוי, לפי סעיף 340 א לחוק.",1,,,,,,,,,,,,בקבוק תבערה,לא,מאחר,,תקין,כן,לא,,"בבית, ברכב",כן,"פיגוע, חגיגה","כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,8 - 12 שנים; 4 - 7 שנים; 18 - 36 חודשים,7 - 10 שנים; 36 - 60 חודשים; 18 - 36 חודשים,9 שנים,סכום כל העונשים המינימלים במתחמי ענישה לא מסתכם לעונש,1,
,23707-03-19,SH-19-03-23707-142,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית + 4 מחסניות ריקות ובהן 0 כדורים + 500 כדורים,"בבית, מוסלק - מוסתר",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,30 - 50 חודשים,24 - 48 חודשים,15 חודשים,,1,
,24791-05-11,SH-11-05-24791-315,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,לא,מאחר,,נשק מופרד מתחמושת,לא,לא,2 מחסניות,בבית,לא,,,לא נגרם נזק,לא,6 - 24 חודשים,,,מתחם שופט?,,
,25802-02-10,SH-10-02-25802-731,כן,144 א,החזקה נשק,החזקת חלק-אבזר תחמושת של כלי נשק,,,,,,,,,,1,,,,לא,,,תקול,כן,לא,,בבית,לא,,,לא נגרם נזק,לא,,,3 חודשים בעבודות שירות,,,
,25902-05-16,ME-16-05-25902-514,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,לא,רכש,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 7 כדורים,"בבית, על גופו",לא,הגנה עצמית,,לא נגרם נזק,לא,24 - 48 חודשים,15 - 36 חודשים,12 חודשים,הסביר הנאשם כי החזיק בנשק ונשא אותו על רקע חשש לשלומו בעקבות איומים שקיבל מצד בעלה של אשה על רקע ניהול קשר עמה מחוץ לנישואין. בעקבות סכסוך,,
,28139-10-13,ME-13-10-28139-807,כן,144 א,ביצוע עבירות בנשק,ניסיון לחבלה חמורה בנסיבות מחמירות לפי סעיפים 333+335(א)(1) ו-25 לפי החוק.,1,,,,,,,,,,,,,לא,,,תקין,כן,לא,,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,5 - 7 שנים,3 - 6 שנים,4 שנים,,,
,28360-02-13,ME-13-02-28360-614,כן,144 ב,נשיאת נשק,"הפרעה לשוטר במילוי תפקידו,נהיגה ללא רישיון,נהיגה ללא ביטוח',נהיגה תחת השפעת משקאות משכרים",1,,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,,ברכב,לא,,"כן,ירי",לא נגרם נזק,כן,18 - 36 חודשים,6 חודשים - 2 שנים,6 חודשים בעבודות שירות,"כפי שכבר פורט, הנאשם לא נשא פיזית את הנשק וגם לא עשה בו שימוש.",,
,28615-08-17,ME-17-08-28615-573,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק","הפרעה לשוטר במילוי תפקידו, לפי סעיף 275 לחוק העונשין",,,1,,,,1,,,,,,,כן,,,נשק מופרד מתחמושת,כן,לא,"מחסנית ובה 9 כדורים, 50 כדורים",על גופו,כן,,,"לא נגרם נזק, פוטנציאל נזק גדול",כן,3 - 5.5 שנים,16 - 40 חודשים,22 חודשים,,,
,28659-02-14,SH-14-02-28659-762,כן,144 א,החזקה נשק,,,1,,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,לא,לא,מחסנית וכדורים,בבית,לא,הגנה עצמית,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,12 - 30 חודשים,8 - 24 חודשים,10 חודשים,,,
,29529-07-20,ME-20-07-29529-567,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,2 מחסניות,ברכב,כן,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,1.5 - 4 שנים,18 - 40 חודשים,9 חודשים,,,
,29911-03-15,ME-15-03-29911-554,כן,"144 א, 144 ב",ביצוע עבירות בנשק,,1,,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,"מחסנית ובה 12 כדורים, מחסנית, 20 כדורים, 24 כדורים","ברכב, על גופו",לא,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,30 - 54 חודשים,18 - 48 חודשים,28 חודשים,,,
,29984-08-16,ME-16-08-29984-51,לא,"144 א, 144 ב","החזקה נשק, הובלת נשק, סחר בנשק","קשירת קשר לפשע – עבירה לפי סעיף 499(א)(1) לחוק העונשין התשל""ז – 1977 (""החוק""), והסתייעות ברכב לביצוע פשע לפי סעיף 43 לפקודת התעבורה (נוסח חדש), התשכ""א – 1961.",,,,,,,,,1,,,,"77 רימוני רסס, 13 טילי לאו",כן,גנב,,תקין,לא,לא,,ברכב,כן,בצע כסף,,"נגרם נזק רב, פוטנציאל נזק גדול",לא,12 - 18 שנים,10 - 15 שנים,15 שנים,,,
,30015-07-16,ME-16-07-30015-11,כן,"144 א, 144 ב","החזקה נשק, הובלת נשק","עסקה אחרת בתחמושת, תמיכה בארגון טרוריסטי",1,,,,,,,,,,,,,לא,מאחר,,נשק מופרד מתחמושת,לא,לא,3 מחסניות,"בבית, מוסלק - מוסתר",לא,חברות בארגון טרור,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2 - 4.5 שנים,24 - 42 חודשים,32 חודשים,,,
,30406-04-16,SH-16-04-30406-325,כן,144 א,החזקה נשק,,,,2,,,,,,,,,,,לא,רכש,,נשק מופרד מתחמושת,כן,לא,"מחסנית ובה 0 כדורים, 2 מחסניות",ברכב,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 5 שנים,2 - 4 שנים,2 שנים,,,
,30972-10-18,ME-18-10-30972-637,כן,144 ב,ניסיון לסחר,,,,,,,,,,,,,,,כן,רכש,"8,000 שקל",תקין,כן,לא,,ברכב,כן,,,לא נגרם נזק,לא,24 - 40 חודשים,8 - 30 חודשים,8 חודשים,,1,
,31218-10-14,ME-14-10-31218-522,כן,144 א,החזקה נשק,,,,,,,,1,,,,,,,כן,,,תקין,כן,לא,,על גופו,לא,,זריקת רימון,"לא נגרם נזק, פוטנציאל נזק קטן",לא,10 - 20 חודשים,8 - 20 חודשים,9 חודשים,,,
,31498-01-16,ME-16-01-31498-921,כן,144 ב,"נשיאת נשק, הובלת נשק","עבירות של גניבה, לפי סעיף 384 לחוק העונשין תשל""ז-1977 להלן: ""חוק העונשין"")",,,,,,4,3,,,,,,,כן,גנב,,תקין,כן,לא,,באוטובוס,כן,בצע כסף,,"לא נגרם נזק, פוטנציאל נזק קטן",לא,1.5 - 3 שנים,12 - 36 חודשים,18 חודשים,,,
,32659-05-18,ME-18-05-32659-754,כן,144 ב,"נשיאת נשק, הובלת נשק",הפרעה לשוטר במילוי תפקידו לפי סעיף 275 לחוק,,,1,,,,2,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,"מחסנית ובה 0 כדורים, 9 כדורים, 10 כדורים",ברכב,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,3.5 - 5.5 שנים,16 - 48 חודשים,18 חודישם,,,
,33444-05-12,ME-12-05-33444-999,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,3 מחסניות,"ברכב, מוסלק - מוסתר",לא,הגנה עצמית,,לא נגרם נזק,לא,,,"500 שעות של""צ","אין מתחם שופט? עונש מוזר - עבודות במסגרת של""צ בהיקף של 500 שעות",,
,33552-09-16,SH-16-09-33552-535,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,"מחסנית, מחסנית ובה 0 כדורים, 4 כדורים, 60 כדורים",מוסלק - מוסתר,כן,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,30 - 60 חודשים,18 - 42 חודשים,19 חודשים,,,1
,33577-04-12,ME-12-04-33577-700,לא,"144 א, 144 ב","החזקה נשק, נשיאת נשק","חבלה בכוונה מחמירה, עבירה לפי סעיף 329(א)(2) לחוק העונשין ויריות באזור מגורים, עבירה לפי סעיף 340(א) לחוק העונשין.",1,,,,,,,,,,,,,כן,,,תקין,לא,לא,,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,5 - 7 שנים; 6 - 8 שנים,2 - 6 שנים,4 שנים,,,
,0336-05-16,ME-16-05-336-804,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,1,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,לא,לא,מחסנית ריקה ובה 0 כדורים + מחסנית ריקה ובה 0 כדורים + 26 כדורים,"ברכב, על גופו",לא,,"כן,ירי",לא נגרם נזק,כן,2.5 - 5 שנים,18 - 36 חודשים,22 חודשים,,,
,34027-04-18,ME-18-04-34027-630,כן,144 ב,סחר בנשק,,2,,,,,,,,,,,,,לא,רכש,"מכר ב24,000 שקל, מכר ב 69,500 שקל, מכר ב 26,000 שקל",נשק מופרד מתחמושת,,כן,מחסנית + מחסנית + כדורים,ברכב,כן,בצע כסף,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,5 - 7 שנים,24 - 48 חודשים,36 חודשים,תיק קשה,1,
,35007-04-13,ME-13-04-35007-454,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,,על גופו,כן,סכסוך,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,24 - 36 חודשים,7 - 30 חודשים,9 חודשים,,,
,35227-05-17,ME-17-05-35227-215,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,1,,,,,,,,,,,כן,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית,ברכב,כן,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2.5 - 5 שנים,12 - 36 חודשים,15 חודשים,,,
,35552-12-11,SH-11-12-35552-181,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,רכש,,תקין,כן,לא,,בבית,כן,,,לא נגרם נזק,לא,15 חודשים,12 - 24 חודשים,7 חודשים,,,
,36728-06-18,ME-18-06-36728-73,כן,144 ב,נשיאת נשק,"עבירות של פציעה, לפי סעיף 334 לחוק העונשין, התשל""ז-1977",1,,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,לא,לא,,על גופו,לא,סכסוך,"כן,ירי","נגרם נזק, פוטנציאל נזק גדול",לא,2.5 - 5 שנים,18 - 48 חודשים,30 חודשים,,,
,3772-01-16,ME-16-01-3772-806,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק",,,,1,,,,,,,,,,,כן,רכש,,נשק עם כדור בקנה,כן,לא,מחסנית,"מוסלק - מוסתר, סמוך לבית",לא,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,"2 - 4 שנים , 2.5 - 5  שנים","10 - 24 חודשים , 18 - 48 חודשים",18 חודשים,"בהתחשב בנסיבות ביצוע העבירה, הפגיעה בערכים המוגנים ומדיניות הענישה הנהוגה, אני קובע כי מתחם הענישה הראוי במקרה זה, בהתבסס על עקרון ההלימה, ביחס לאישום הראשון, נע בין 10 ל-24 חודשי מאסר בפועל. מתחם הענישה הראוי ביחס לאישום השני נע בין 18 ל-48 חודשי מאסר בפועל",1,
,39071-12-15,ME-15-12-39071-113,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,,,תקין,כן,לא,,"ברכב, מוסלק - מוסתר",לא,הגנה עצמית,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,7 - 18 חודשים,6 - 20 חודשים,6 חודשים בעבודות שירות,"38.  לאחר ששמעתי את דברי ב""כ הצדדים והנאשם אני נותן אמון בגרסתו כי חשש לחייו, נוכח סכסוך הדמים שהביא למות גיסו זמן קצר קודם לכן.",,
,39500-07-20,ME-20-07-39500-753,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,לא,לא,מחסנית ובה 11 כדורים,"ברכב, על גופו",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 6 שנים,16 - 40 חודשים,30 חודשים,,,
