,מספר תיק_ישן,מספר תיק,הודאה,מספר עבירה,סוג עבירה,עבירות נוספות,סוג הנשק [אקדח],סוג הנשק [תת מקלע],סוג הנשק [תת מקלע מאולתר],סוג הנשק [בקבוק תבערה],סוג הנשק [מטען חבלה],סוג הנשק [רימון רסס],סוג הנשק [רימון הלם/גז],סוג הנשק [טיל לאו ],סוג הנשק [טיל מטאדור],סוג הנשק [רובה צייד],סוג הנשק [רובה צלפים],סוג הנשק [מטען חבלה מאולתר],סוג הנשק - אם לא נמצא בטבלה,עבר פלילי,אופן קבלת הנשק,כסף ששולם,סטטוס הנשק,חרטה,מכירה לסוכן,כמות תחמושת,אופן החזקת הנשק,תכנון,מטרה-סיבת העבירה,שימוש,נזק,בריחה,מתחם ענישה - מאשימה,מתחם ענישה - שופט,עונש,הערות ומחשבות,סוג הנשק [רובה סער ],סוג הנשק [רובה סער מאולתר]
,0398-09-16,ME-16-09-398-589,כן,144 ב,נשיאת נשק,"חבלה חמורה בנסיבות מחמירות, עבירה לפי סעיף 333 + 335(א)(2+1) לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"");",1,,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,,על גופו,כן,סכסוך,"כן,ירי","נגרם נזק, פוטנציאל נזק גדול",לא,2 - 6 שנים,24 - 48 חודשים,36 חודשים,,,
,40313-09-15,ME-15-09-40313-52,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,,,2,,,,,,,,,,,כן,,,נשק עם מחסנית בהכנס,כן,לא,2 מחסניות + 39 כדורים + 8 כדורים,"ברכב, מוסלק - מוסתר",לא,תדמית,,"לא נגרם נזק, פוטנציאל נזק גדול",כן,3 - 6 שנים,16 - 40 חודשים,18 חודשים,,,
,41585-03-16,ME-16-03-41585-22,כן,144 ב,"נשיאת נשק, הובלת נשק","חבלה בכוונה מחמירה ,יריות בנשק חם באזור מגורים ,הסתייעות ברכב לביצוע פשע,נהיגה בלא רישיון נהיגה ,נהיגה בלא רישיון רכב,שימוש ברכב בלא פוליסת ביטוח בת תוקף",,,,,,,,,,,,,,כן,,,תקין,כן,לא,,"ברכב, על גופו",כן,סכסוך,"כן,ירי","נגרם נזק, פוטנציאל נזק גדול",לא,6 - 9 שנים,4 - 7 שנים,5 שנים,,1,
,41775-01-11,SH-11-01-41775-497,כן,,"החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,לא,לא,מחסנית ריקה ובה 0 כדורים + 34 כדורים,"בבית, ברכב",לא,הגנה עצמית,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,6 - 18 חודשים,5 - 18 חודשים,5 חודשים בעבודות שירות,,,
,42987-06-16,ME-16-06-42987-901,כן,144 ב,נשיאת נשק,"איומים לפי סעיף 192 לחוק; חבלה מחמירה לפי סעיף 329(א)(2) לחוק וניסיון תקיפה בנסיבות מחמירות לפי סעיפים 382(א) + 25 לחוק העונשין. חמש עבירות של סחר בסמים לפי סעיפים 13+19א' לפקודת הסמים המסוכנים [נוסח חדש] תשל""ג-1973 ובעבירה אחת של החזקת סם שלא לשימוש עצמי לפי סעיפים 7(א) + 7(ג) רישא לפקודה זו.עבירה של גניבה לפי סעיף 384 לחוק העונשין.",,,,,,,4,,,,,,כלי נשק מאולתר,כן,מאחר,,נשק עם כדור בקנה,לא,לא,כדור,,כן,סכסוך,"ניסיון לירי ללא הצלחה, זריקת רימון","לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 6 שנים,2 - 4 שנים,3 שנים,,,
,42991-05-16,SH-16-05-42991-439,כן,144 א,החזקה נשק,"שיבוש הליכי משפט, לפי סעיף 244 לחוק",1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 13 כדורים,"בבית, על גופו",כן,סכסוך,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,1.5 - 3.5 שנים,10 - 24 חודשים,10 חודשים,,,
,43085-06-21,ME-21-06-43085-219,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק","ירי מנשק חם, לפי סעיף 340א' (ב)(1) בחוק העונשין; היזק בזדון, לפי סעיף 452 בחוק העונשין; חבלה במזיד, לפי סעיף 413ה' בחוק העונשין; נהיגה ללא רישיון נהיגה, לפי סעיף 10(א) בפקודת התעבורה, התשכ""א – 1961; ונהיגה ללא פוליסת ביטוח בתוקף, לפי סעיף 2(א) ו – (ב) בפקודת ביטוח רכב מנועי [נוסח משולב] תש""ל – 1970.",1,,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,,ברכב,כן,סכסוך,"כן,ירי","נגרם נזק מועט, פוטנציאל נזק גדול",לא,5 - 8 שנים,4 - 7 שנים,5 שנים,,,
,44157-08-16,ME-16-08-44157-713,כן,144 ב,סחר בנשק,קשירת קשר לביצוע פשע,,1,1,,,,,,,,,,,כן,,"מכר ב 10,500",נשק מופרד מתחמושת,כן,כן,מחסנית,בבית,כן,בצע כסף,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 7 שנים,18 - 36 חודשים,24 חודשים,הציע עסקה לעוד נשקים אבל בסוף העסקה הייתה רק על הקרל גוסטב!,,
,44380-08-16,SH-16-08-44380-642,כן,144 א,החזקה נשק,החזקת אביזר נשק,,,1,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,מחסנית,"בבית, מוסלק - מוסתר",כן,,,פוטנציאל נזק גדול,לא,2 - 4 שנים,14 - 36 חודשים,14 חודשים,הנאשם סירב לשפוך אור על הסיבה להימצאות הנשק והתחמושת וניסיונות שירות המבחן להעמיק בנושא נתקלו בעמדות מבוצרות של הנאשם שטען כי מצא את הנשק בחצר הבית והחביא אותו במטרה להרחיקו מאחיו הקטנים.,,
,44579-08-15,ME-15-08-44579-251,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 0 כדורים,"ברכב, מוסלק - מוסתר",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",כן,2 - 4 שנים,7 - 30 חודשים,12 חודשים,,,
,44840-06-16,ME-16-06-44840-433,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",סיוע לנסיון לתקיפה לפי סעיפים 379 + 25 + 31 לחוק,,,,,,1,2,,,,,,,כן,מאחר,,תקין,כן,לא,,"ברכב, מוסלק - מוסתר",כן,סכסוך,זריקת רימון,"לא נגרם נזק, פוטנציאל נזק גדול",לא,1 - 3 שנים,6 חודשים של עבודות שירות - 20 חודשים,8 חודשים,,,
,45228-07-16,ME-16-07-45228-25,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 10 כדורים,"בבית, על גופו, מוסלק - מוסתר",כן,,,"לא נגרם נזק, פוטנציאל נזק גדול",כן,2 - 4 שנים,10 - 30 חודשים,12 חודשים,"אין ניתן לייחס לנאשם תכנון ארוך-טווח קודם לביצוע העבירה. עם זאת, מתוך תיאור הדברים, אין ניתן להתייחס אל מעשה-העבירה כמעידה רגעית, שכן הנאשם טרח להתחמק מאנשי-המשטרה ואף הסתיר את הנשק בחדר בבית דודו. 

* אין בחומר ראיה ברורה, המלמדת על מניעיו של הנאשם בביצוע המעשה.


הנאשם טען בפני קצין המבחן שמצא את כלי-הנשק. טענה זו לא זכתה לאמון מלא מצד קצין המבחן. אין בכוונתי לקבוע מסמרות בעניין זה בשלב הנוכחי. ",,
,45465-11-15,ME-15-11-45465-294,כן,144 ב,"נשיאת נשק, סחר בנשק",,,2,,,,,,,,,,,,כן,,"מכר ב 8,000 שקל",נשק מופרד מתחמושת,כן,כן,3 מחסניות,ברכב,כן,בצע כסף,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,4.5 - 8.5 שנים,24 - 60 חודשים,24 חודשים,,,
,46930-03-22,ME-22-03-46930-359,כן,"144 א, 144 ב","החזקה נשק, סחר בנשק",,1,,,,,,,,,,,,,כן,רכש,"16,000 שקל",נשק מופרד מתחמושת,כן,לא,מחסנית,,כן,בצע כסף,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,60 - 80 חודשים,42 - 60 חודשים,32 חודשים,,,
,47445-08-17,SH-17-08-47445-166,כן,144 א,החזקה נשק,,1,,1,,,,,,,,,,,לא,,,תקין,לא,לא,,בבית,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2.5 - 5 שנים,1 - 2.5 שנים,9 חודשים,,,
,47766-07-12,SH-12-07-47766-859,לא,144 א,החזקה נשק,,,,1,,,,,,,,,,,כן,,,תקין,לא,לא,מחסנית,"מוסלק - מוסתר, סמוך לבית",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,12 חודשים,8 - 18 חודשים,9 חודשים,,,
,48488-03-14,ME-14-03-48488-922,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",היזק בזדון בחומר נפיץ,,,,,1,,,,,,,,,כן,ייצר,,תקין,כן,לא,,על גופו,כן,בצע כסף,הפעלת מטען,נגרם נזק,לא,,,42 חודשים,"והוא הניח אותו מתחת למושב נהג של אדם עמו לא היה לו כלל סכסוך, בעצם שימש
""חרב להשכיר"" ",,
,49530-03-15,SH-15-03-49530-992,כן,144 א,החזקה נשק,,,,1,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,לא,לא,2 מחסניות,"מוסלק - מוסתר, סמוך לבית",לא,,,לא נגרם נזק,לא,24 - 48 חודשים,10 - 20 חודשים,10 חודשים,אין אזכור ל 144 א או ב,,
,49772-11-16,SH-16-11-49772-358,כן,144 א,החזקה נשק,גניבה,,,,,,,,,,,,,,כן,גנב,,תקין,לא,לא,,מוסלק - מוסתר,לא,בצע כסף,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,20 - 42 חודשים,7 - 24 חודשים,7 חודשים,,,
,50916-06-16,ME-16-06-50916-362,כן,144 ב,נשיאת נשק,"איומים, עבירה לפי סעיף 192  לחוק העונשין, יריות באזור מגורים, עבירה לפי סעיף 340א לחוק העונשין, מעשה פזיזות ורשלנות, עבירה לפי סעיף 338(א)(5) לחוק העונשין, נהיגה בזמן פסילה, עבירה לפי סעיף 67 לפקודת התעבורה תשכ""א – 1961 ונהיגה ללא רישיון נהיגה, עבירה לפי סעיף 10א וסעיף 62(1) לפקודת התעבורה [נוסח חדש],תשכ""א-1961.",,1,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,,ברכב,לא,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,3.5 - 6 שנים,28 - 48 חודשים,32 חודשים,,,
,50986-12-16,ME-16-12-50986-619,כן,144 ב,"נשיאת נשק, הובלת נשק","בעבירות של קשירת קשר לפשע, לפי סעיף 449(א)(1) לחוק העונשין; איומים, לפי סעיף 192 לחוק העונשין;  וירי באזור מגורים, לפי סעיף 340 א' לחוק העונשין.",,,,,,,,,,,,,כלי נשק,כן,,,נשק עם כדור בקנה,לא,לא,,ברכב,לא,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 5 שנים,15 - 42 חודשים,24 חודשים,,,
,51207-09-12,ME-12-09-51207-971,כן,"144 א, 144 ב","החזקה נשק, ייצור נשק",יריות באזור מגורים - עבירה לפי סעיף 340א לחוק.,,,,,,,,,,,,,,לא,ייצר,,נשק עם כדור בקנה,כן,לא,,בבית,לא,חתונה,"כן,ירי","לא נגרם נזק, פוטנציאל נזק קטן",לא,12 - 36 חודשים,6 חודשים בעבודות שירות - 12 חודשים במאסר בפועל; מספר חודשים בעבודות שירות - מספר חודשים במאסר בפועל,,לא קיבל עונש של מאסר בפועל,,
,5127/06,m06005127-464,כן,144 א,החזקה נשק,"החזקת נכס חשוד כגנוב, עבירה לפי סעיף 413 לחוק העונשין.",1,,,,,,,,,,,,,כן,,,תקין,כן,לא,,ברכב,לא,,,לא נגרם נזק,לא,,,24 חודשים,"אין דברי המאשימה, אין מתחם ענישה",,
,51828-02-14,ME-14-02-51828-88,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,,,,,,,,,,,2 רובי צייד מאולתרים,לא,,,תקין,כן,לא,,ברכב,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 5 שנים,12 - 28 חודשים,6 חודשים בעבודות שירות,,,
,0520-07-17,ME-17-07-520-371,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק",,,,,,,1,,,,,,,,כן,מאחר,,תקין,כן,לא,,ברכב,לא,,,לא נגרם נזק,לא,3.5 - 8.5 שנים,12 - 36 חודשים,12 חודשים,,,
,52091-02-20,SH-20-02-52091-995,כן,144 א,החזקה נשק,,,,1,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,20 כדורים,בבית,לא,,,לא נגרם נזק,לא,26 - 40 חודשים,18 - 36 חודשים,18 חודשים,,,
,52337-07-18,SH-18-07-52337-770,כן,144 א,החזקה נשק,,,,1,,,,,,,,,,,לא,מאחר,,תקין,כן,לא,,"בבית, מוסלק - מוסתר",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2 - 4 שנים,1.5 - 3 שנים,18 חודשים,,,
,52964-03-22,ME-22-03-52964-443,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק",עבירת הפרעה לשוטר במילוי תפקידו לפי סעיף 275 לחוק.,1,,,,,,,,,,,,,כן,,,נשק עם מחסנית בהכנס,כן,לא,"מחסנית ובה 16 כדורים, מחסנית ובה 16 כדורים",על גופו,כן,סכסוך,,"לא נגרם נזק, פוטנציאל נזק גדול",כן,30 - 60 חודשים,30 - 45 חודשים,36 חודשים,,,
,53169-10-13,ME-13-10-53169-537,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית ריקה ובה 0 כדורים + 2 כדורים + 17 כדורים,על גופו,כן,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,12 - 36 חודשים,6 חודשים - 2.5 שנים,6 חודשים,,,
,53539-11-17,SH-17-11-53539-235,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,לא,לא,"מחסנית ובה 0 כדורים, 28 כדורים",בבית,כן,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 36 חודשים,6 - 18 חודשים,10 חודשים,"עוד הנאשם החזיק בביתו שני קליעי ספוג, אקדח אויר, אגרופן וכן סכין קומנדו.
הנאשם החזיק בנשק לצרכי הגנה עצמית מה גם שטענה זו לא הוכחה",,
,53615-01-19,ME-19-01-53615-8,כן,144 ב,"נשיאת נשק, הובלת נשק",ירי מנשק חם באזור מגורים,,,1,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,מחסנית,"ברכב, על גופו",לא,תחושת חוסר אונים וצורך בקבלת עזרה חיצונית במצבו,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",כן,3 - 5 שנים,20 - 50 חודשים,27 חודשים,,,
,54432-02-17,ME-17-02-54432-484,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית ובה 7 כדורים,"ברכב, על גופו",כן,הגנה עצמית,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 5 שנים,10 - 30 חודשים,6 חודשים בעבודות שירות,,,
,54615-03-16,ME-16-03-54615-517,כן,144 ב,סחר בנשק,,,2,,,,,,,,,,,,כן,,"מכר ב 3,000 שקל",תקול,לא,לא,,,כן,בצע כסף,ניסיון לירי ללא הצלחה,"לא נגרם נזק, פוטנציאל נזק קטן",לא,3 - 7 שנים,20 - 40 חודשים,24 חודשים,,,
,54879-08-16,ME-16-08-54879-35,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,1,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 7 כדורים,"על גופו, סמוך לבית",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2.5 - 4.5 שנים,12 - 36 חודשים,16 חודשים,,,
,56385-11-16,ME-16-11-56385-886,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,גנב,,נשק עם כדור בקנה,לא,לא,,על גופו,לא,,,לא נגרם נזק,לא,1 - 3 שנים,9 - 30 חודשים,11 חודשים,,,
,59260-03-16,ME-16-03-59260-279,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 14 כדורים,"ברכב, מחסן",כן,סכסוך,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 48 חודשים,12 - 30 חודשים,12 חודשים,,,
,59812-02-16,ME-16-02-59812-881,כן,144 ב,סחר בנשק,"מסירת ידיעה כוזבת על עבירת פשע, לפי סעיף 243 סיפא לחוק; שיבוש הליכי משפט, לפי סעיף 244 לחוק.",1,,,,,,,,,,,,,לא,עבודה,"8,000 שקל",תקין,כן,לא,"2 מחסניות, 20 כדורים",,כן,מימון סמים,,"נגרם נזק, פוטנציאל נזק גדול",לא,2 - 6 שנים; 6 - 18 חודשים,"18 - 36 חודשים; מאסר על תנאי ושל""צ - 1 שנים בפועל",6 חודשים בעבודות שירות,,,
,60805-07-19,SH-19-07-60805-168,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית ובה 10 כדורים,"ברכב, מוסלק - מוסתר",לא,,,לא נגרם נזק,לא,18 - 40 חודשים,15 - 30 חודשים,18 חודשים,,,
,0613-04-17,ME-17-04-613-913,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 15 כדורים,"ברכב, על גופו",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2 - 4 שנים,10 - 30 חודשים,6 חודשים בעבודות שירות,,,
,62597-10-17,ME-17-10-62597-895,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,כן,,,תקין,כן,לא,"מחסנית, כדורים",על גופו,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,20 - 48 חודשים,6 - 30 חודשים,6 חודשים בעבודות שירות,,,
,62688-01-20,ME-20-01-62688-591,כן,144 ב,"נשיאת נשק, הובלת נשק","חבלה בכוונה מחמירה - עבירה לפי סעיף 329 (א)(1) לחוק העונשין; החזקת סם מסוכן לצריכה עצמית - עבירה לפי סעיף 7(א) + (ג) סיפא לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973.",1,,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,,"ברכב, על גופו",כן,סכסוך,"כן,ירי","נגרם נזק רב, פוטנציאל נזק גדול",לא,5 - 8 שנים,2.5 - 5 שנים,30 חודשים,,,
,0633-05-17,ME-17-05-633-549,כן,"144 א, 144 ב","החזקה נשק, סחר בנשק",,2,,1,,,,,,,,,,,לא,רכש,"14,000 שקל",נשק מופרד מתחמושת,כן,לא,"2 מחסניות, מאות כדורים, 2 מחסניות ובהן 0 כדורים",מוסלק - מוסתר,כן,בצע כסף,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,4 - 8 שנים; 6 חודשים של עבודות שירות - 6 חודשים; 10 - 24 חודשים,3 - 6 שנים,4 שנים,,,
,64845-06-16,ME-16-06-64845-657,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,לא,לא,"מחסנית ובה 0 כדורים, 11 כדורים",ברכב,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 48 חודשים,12 - 36 חודשים,18 חודשים,,,
,65958-12-15,SH-15-12-65958-120,כן,144 א,החזקה נשק,,2,,1,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 8 כדורים + מחסנית ובה 15 כדורים + מחסנית ריקה ובה 0 כדורים + מחסנית ובה 6 כדורים,"בבית, מוסלק - מוסתר",כן,הגנה עצמית,,לא נגרם נזק,לא,3 - 5 שנים,18 - 36 חודשים,20 חודשים,,,
,6904-12-14,ME-14-12-6904-57,כן,144 ב,"נשיאת נשק, הובלת נשק",החזקת סם לצריכה עצמית,,,1,,,,,,,,,,,לא,רכש,"קנה ב 4,000 שקל",נשק מופרד מתחמושת,לא,לא,מחסנית,"בבית, על גופו, מוסלק - מוסתר",כן,הגנה עצמית,,לא נגרם נזק,לא,24 - 48 חודשים,12 - 36 חודשים,18 חודשים,,,
,69158-11-16,ME-16-11-69158-529,כן,144 ב,נשיאת נשק,ירי באזור מגורים,,1,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,מחסנית,"ברכב, מוסלק - מוסתר, סמוך לבית",כן,חתונה,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 5 שנים,16 - 40 חודשים,17 חודשים,,,
,72146-11-20,ME-20-11-72146-895,כן,144 ב,"נשיאת נשק, הובלת נשק",ניסיון לחבלה חמורה בנסיבות מחמירות לפי סעיפים 333 + 335(א)(1) + סעיף 25 לחוק העונשין; שיבוש מהלכי משפט לפי סעיף 244 לחוק העונשין והפרעה לשוטר בשעת מילוי תפקידו לפי סעיף 275 לחוק העונשין.,1,,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,מחסנית,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",כן,5 - 7 שנים,3 - 5 שנים,3.5 שנים,,,
,7434-05-10,sh-10-05-7434-952,כן,144 א,החזקה נשק,,2,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,מחסנית,"בבית, מוסלק - מוסתר",לא,,,לא נגרם נזק,לא,,,4 חודשים עבודות שירות,"מאסר בפועל לתקופה שבין 5.5.10 ל-10.5.10, שבמהלכה שהה במעצר, וכן ארבעה חודשי מאסר בפועל לריצוי בדרך של עבודות שירות,",,
,7498-11-14,ME-14-11-7498-539,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק, ניסיון לסחר","עבירות של קשירת קשר לביצוע פשע, גניבה,",,,,,,,,,,,,,,לא,מאחר,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 29 כדורים,"ברכב, מוסלק - מוסתר",כן,בצע כסף,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,36 - 72 חודשים,3 - 6 שנים,6 חודשים,,2,
,7544-11-16,SH-16-11-7544-55,כן,144 א,החזקה נשק,,,,1,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 10 כדורים,על גופו,לא,,,פוטנציאל נזק גדול,לא,2.5 - 4.5 שנים,13 - 36 חודשים,21 חודשים,,,
,7566-11-09,ME-09-11-7566-913,כן,"144 א, 144 ב",ביצוע עבירות בנשק,,1,,,,,,,,,,,,,לא,מצא,,תקול,כן,לא,,ברכב,לא,,,לא נגרם נזק,לא,,,6 חודשים בעבודות שירות,אין מתחם ענישה,,
,8097/01,m01008097-376,כן,"144 א, 144 ב",,"עבירת מעשה פזיזות ורשלנות כהגדרתם בס""ק 338 (5) לחוק העונשין",,,,,,1,,,,,,,,לא,,,תקין,כן,לא,"כדורים, 2 מחסניות","בבית, על גופו",לא,,זריקת רימון,לא נגרם נזק,לא,,,,"אין מתחם ענישה, אין דברי המאשימה, אין עונש",,
,8192/04,m04008192-374,לא,144 ב,החזקה נשק,,,,,,,,1,,,,,,,,,,,,,,,לא,,,לא נגרם נזק,כן,,,6 חודשים,,,
,8987-11-14,SH-14-11-8987-965,כן,144 א,החזקה נשק,גניבה לפי סעיפים 384,1,,,,,,,,,,,,,כן,גנב,,תקול,כן,לא,,,לא,,,"לא נגרם נזק, פוטנציאל נזק קטן",לא,12 - 30 חודשים,10 - 18 חודשים,4 חודשים בעבודות שירות,,,
,9111-02-15,ME-15-02-9111-399,כן,144 א,,,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 13 כדורים,על גופו,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",כן,2.5 - 4.5 שנים,10 - 36 חודשים,10 חודשים,,,
,9348-10-16,ME-16-10-9348-780,כן,144 ב,נשיאת נשק,,,,,,,,,,,1,,,,לא,גנב,,נשק מופרד מתחמושת,כן,לא,75 כדורים,"בבית, ברכב",לא,לעורר את אביו,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 36 חודשים,מאסר מותנה עד למאסר בפועל של מספר חודשים שירוצו בעבודות שירות,8 חודשים על תנאי,העונש הינו 8 חודשים על תנאי ולא בפועל.,,
,9349-05-09,SH-09-05-9349-998,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,"מחסנית ובה 0 כדורים, 26 כדורים",בבית,לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,8 - 12 חודשים,,6 חודשים בעבודות שירות,"אין מתחם ענישה של השופט. 
השופט נותן לנאשם לבחור אם לרצות את העונש בדרך של עבודות שירות",,
,9968-05-16,ME-16-05-9968-487,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,,,1,,,,,,,,,,,לא,מאחר,,נשק עם מחסנית בהכנס,כן,לא,מחסנית,"בבית, מוסלק - מוסתר",לא,,,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2 - 4 שנים,10 - 24 חודשים,10 חודשים,,,
,9983-05-16,ME-16-05-9983-155,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,,,1,,,,,,,,,,,כן,מאחר,,נשק מופרד מתחמושת,לא,לא,מחסנית,מוסלק - מוסתר,לא,,,פוטנציאל נזק גדול,לא,2 - 4 שנים,9 חודשים - 3 שנים,12 חודשים,,,