Source_Verdict,Target_Verdict,label
SH-16-04-30406-325,ME-16-02-59812-881,2
ME-16-05-25902-514,ME-16-11-56385-886,4
ME-18-06-36728-73,ME-16-09-398-589,5
ME-21-01-15387-564,ME-16-05-9968-487,4.5
SH-17-10-10556-234,ME-16-11-13999-863,2
SH-17-10-10556-234,m08000207-175,2
SH-18-06-11098-353,ME-16-03-54615-517,1.5
ME-17-05-633-549,ME-19-04-1316-977,5
ME-16-04-12480-812,ME-13-10-28139-807,4
ME-17-05-633-549,ME-09-05-16192-355,1.5
ME-16-05-336-804,ME-15-12-39071-113,1.5
ME-16-10-12213-904,ME-09-05-16192-355,5
ME-16-10-9348-780,SH-10-02-25802-731,1.5
ME-16-05-25902-514,ME-12-05-33444-999,4
ME-15-08-44579-251,ME-14-12-6904-57,3.5
ME-17-05-633-549,ME-16-03-54615-517,3
ME-20-01-62688-591,ME-16-09-398-589,5
ME-16-06-42987-901,ME-16-06-44840-433,5
ME-21-10-18557-340,SH-11-01-41775-497,1
ME-16-06-42987-901,ME-14-10-31218-522,1
ME-18-05-32659-754,ME-15-02-9111-399,2
ME-16-05-336-804,ME-16-11-69158-529,3.5
SH-17-10-10556-234,m07001074-98,3
SH-19-07-60805-168,ME-14-10-31218-522,1.5
ME-16-06-44840-433,SH-11-05-24791-315,1.5
ME-16-08-229-604,ME-16-05-19384-544,1
ME-16-02-18397-87,ME-20-01-62688-591,1.5
sh-10-05-7434-952,ME-15-06-12109-344,1.5
ME-16-06-44840-433,SH-09-05-9349-998,1
ME-16-08-44157-713,ME-15-11-45465-294,5
ME-15-06-12109-344,ME-12-04-33577-700,1
ME-17-08-28615-573,ME-16-05-336-804,3
ME-16-05-25902-514,SH-17-08-47445-166,2.5
ME-16-05-336-804,ME-14-12-6904-57,4
SH-19-07-60805-168,ME-20-01-17935-7,2.5
ME-15-12-39071-113,ME-09-11-7566-913,4
ME-19-04-1316-977,SH-11-05-24791-315,1.5
ME-18-06-36728-73,SH-12-07-47766-859,1
ME-15-12-39071-113,ME-13-02-28360-614,1
ME-16-02-59812-881,ME-22-03-52964-443,4
ME-20-01-62688-591,ME-17-05-35227-215,2
ME-16-06-64845-657,ME-12-03-13401-281,2
SH-14-02-28659-762,ME-16-05-19384-544,1
ME-20-01-62688-591,ME-22-03-52964-443,2
ME-19-01-53615-8,ME-16-11-69158-529,4
ME-15-12-39071-113,sh-10-05-7434-952,4
ME-16-06-44840-433,ME-12-09-51207-971,1.5
ME-16-05-19384-544,ME-16-03-54615-517,4
ME-12-05-33444-999,ME-17-04-613-913,2
ME-17-04-613-913,ME-12-04-33577-700,2
ME-21-10-18557-340,ME-16-10-9348-780,1
SH-16-04-30406-325,SH-16-11-7544-55,5
SH-16-11-7544-55,ME-13-10-28139-807,2
ME-16-04-12480-812,SH-16-05-42991-439,2
ME-16-05-9968-487,ME-13-04-35007-454,4
ME-16-11-69158-529,ME-14-12-6904-57,3.5
SH-11-05-24791-315,ME-16-10-9348-780,2
ME-15-12-39071-113,ME-10-08-17917-313,4.5
ME-22-03-52964-443,SH-17-08-47445-166,1
ME-15-12-39071-113,SH-11-12-35552-181,5
ME-16-11-69158-529,ME-16-10-12213-904,2
ME-16-03-59260-279,ME-16-08-54879-35,3
SH-18-07-52337-770,SH-16-11-7544-55,4
ME-16-06-42987-901,ME-12-03-13401-281,2
SH-20-02-52091-995,SH-16-11-7544-55,5
ME-15-12-39071-113,SH-12-07-47766-859,4
SH-14-02-28659-762,SH-16-05-42991-439,3
ME-14-10-31218-522,ME-17-05-35227-215,1
SH-16-11-7544-55,SH-15-03-49530-992,4.5
ME-16-11-13999-863,ME-21-10-18557-340,2
ME-16-10-12213-904,ME-16-01-189-123,4.5
SH-15-12-65958-120,ME-16-05-9983-155,3.5
ME-18-04-19642-504,ME-16-07-45228-25,1
ME-15-03-29911-554,ME-16-02-18397-87,2
ME-16-11-69158-529,ME-16-01-3772-806,4
ME-17-02-54432-484,ME-16-05-25902-514,5
SH-17-10-10556-234,ME-09-06-10774-130,3
sh-10-05-7434-952,ME-21-10-18557-340,1
SH-10-02-25802-731,ME-13-04-35007-454,2
ME-16-10-12213-904,ME-15-02-9111-399,2
SH-16-04-30406-325,0520-07-17,2
ME-16-05-25902-514,SH-11-01-41775-497,4
ME-18-05-32659-754,ME-16-08-54879-35,5
ME-17-05-35227-215,ME-15-02-9111-399,1.5
ME-16-04-12480-812,ME-12-03-15148-775,1
ME-16-02-59812-881,ME-16-03-54615-517,1.5
SH-23-03-19819-247,SH-16-11-7544-55,4
ME-15-12-39071-113,ME-16-10-12213-904,2
ME-16-08-44157-713,ME-17-05-35227-215,3.5
ME-10-08-17917-313,ME-16-04-12480-812,1
ME-20-07-29529-567,ME-16-08-54879-35,3.5
SH-09-05-9349-998,ME-20-07-29529-567,1.5
ME-22-03-46930-359,ME-16-03-59260-279,2
ME-21-01-15387-564,ME-16-11-69158-529,2
ME-16-02-18397-87,ME-12-03-13401-281,2
ME-17-10-62597-895,SH-15-12-65958-120,1
ME-13-02-28360-614,ME-16-06-44840-433,1
SH-18-06-11098-353,SH-16-11-7544-55,5
ME-18-06-36728-73,0398-09-16,5
ME-14-07-13179-197,m08000207-175,2
SH-17-04-19242-11,SH-16-11-7544-55,4.5
ME-14-10-31218-522,ME-14-12-6904-57,1
ME-16-10-9348-780,ME-17-05-35227-215,2
ME-16-06-42987-901,ME-12-04-33577-700,2
ME-15-08-44579-251,SH-17-04-19242-11,1
ME-15-06-12109-344,SH-14-11-8987-965,1
ME-21-10-18557-340,ME-16-12-50986-619,4
0633-05-17,ME-19-04-1316-977,4.5
ME-13-10-53169-537,ME-13-10-28139-807,3
0336-05-16,ME-15-12-39071-113,2
SH-15-12-65958-120,SH-16-09-33552-535,5
ME-16-08-29984-51,ME-15-11-45465-294,2
ME-16-05-9968-487,SH-11-01-41775-497,3
ME-19-04-1316-977,ME-16-05-19384-544,2
SH-16-02-10948-419,SH-16-11-19417-55,5
ME-22-03-52964-443,ME-17-05-35227-215,3
ME-18-04-19642-504,ME-21-10-18557-340,3.5
ME-16-03-59260-279,SH-11-12-35552-181,3
ME-16-06-44840-433,ME-14-10-31218-522,2.5
ME-20-01-62688-591,0398-09-16,5
sh-10-05-7434-952,SH-18-06-11098-353,2
SH-19-07-60805-168,SH-16-11-7544-55,3.5
SH-14-11-8987-965,ME-16-12-50986-619,1
SH-16-09-33552-535,ME-16-11-56385-886,1
ME-17-08-28615-573,ME-17-05-35227-215,3.5
SH-16-11-7544-55,ME-16-10-12213-904,2
ME-12-03-15148-775,ME-16-08-29984-51,2
ME-15-02-9111-399,ME-14-07-13179-197,2
SH-20-02-52091-995,ME-17-05-35227-215,1
SH-16-11-19417-55,SH-16-11-7544-55,4
ME-19-01-53615-8,SH-15-12-65958-120,1
SH-14-02-28659-762,SH-17-10-10556-234,4
m07001074-98,ME-17-05-35227-215,1
SH-18-07-52337-770,ME-16-06-50916-362,1
ME-13-10-28139-807,SH-12-07-47766-859,2
SH-17-11-53539-235,m07001074-98,4
ME-16-11-69158-529,ME-12-03-13401-281,4
ME-21-06-43085-219,SH-17-08-47445-166,1.5
ME-16-05-19384-544,m08000207-175,1.5
ME-12-05-33444-999,0613-04-17,2
0613-04-17,ME-12-04-33577-700,2
SH-11-05-24791-315,ME-16-02-59812-881,2
ME-16-01-31498-921,ME-16-10-9348-780,1.5
ME-09-11-7566-913,ME-16-06-50916-362,2
ME-20-01-17935-7,SH-23-03-19819-247,3
SH-17-08-47445-166,SH-16-11-7544-55,4
ME-16-11-13999-863,m01008097-376,1
ME-16-06-50916-362,ME-15-03-29911-554,4
SH-16-11-49772-358,ME-17-02-54432-484,2
ME-14-02-51828-88,ME-14-03-48488-922,1
ME-14-12-6904-57,ME-18-04-19642-504,1
ME-18-10-30972-637,ME-14-11-7498-539,4.5
ME-17-02-54432-484,ME-16-07-45228-25,4
ME-09-06-10774-130,SH-20-02-52091-995,2.5
SH-15-03-49530-992,ME-16-05-9983-155,3.5
